,Blog,Blog image URL,Like Count,Blog Date
189,What Hotels Need to Know About the Staycation Boom,https://rategain.com/blog/what-hotels-need-to-know-about-the-staycation-boom/,4,"December 16, 2020"
190,Here’s How Hoteliers Can Attract New Travelers in the Post-COVID Era,https://rategain.com/blog/heres-how-hoteliers-can-attract-new-travelers-in-the-post-covid-era/,5,"December 16, 2020"
191,How Airline Revenue Management and Pricing Teams Respond to Revenue Volatility?,https://rategain.com/blog/how-airline-revenue-management-and-pricing-teams-respond-to-revenue-volatility/,5,"December 15, 2020"
192,Revenue Volatility in Airlines is Here to Stay: What can Revenue & Pricing Teams do About it?,https://rategain.com/blog/revenue-volatility-in-airlines-is-here-to-stay-what-can-revenue-pricing-teams-do-about-it/,5,"December 15, 2020"
193,These New Car Rental Subscription Programs Will Get You There,https://rategain.com/blog/these-new-car-rental-subscription-programs-will-get-you-there/,5,"December 15, 2020"
194,"Pardon me, your politics are showing",https://rategain.com/blog/pardon-me-your-politics-are-showing/,4,"December 12, 2020"
195,"New Deal Europe Weekly Update on Tourism to the Balkan Region, Week 24",https://rategain.com/blog/new-deal-europe-weekly-update-on-tourism-to-the-balkan-region-week-24/,4,"December 12, 2020"
196,See the Green Shoots of Recovery with Smart Distribution’s latest addition “Future Demand”,https://rategain.com/blog/see-the-green-shoots-of-recovery-with-smart-distributions-latest-addition-future-demand/,5,"October 21, 2020"
197,Seven Tactics to Keep your Hotel's Distribution Healthy and Highly Profitable,https://rategain.com/blog/seven-tactics-to-keep-your-hotels-distribution-healthy-and-highly-profitable/,8,"October 7, 2020"
198,Bespoke Strategies for Opening the Doors to the European Market,https://rategain.com/blog/bespoke-strategies-for-opening-the-doors-to-the-european-market/,7,"August 25, 2020"
199,A New Era of Exploration is Coming to Hoteliers. Stay Tuned!,https://rategain.com/blog/a-new-era-of-exploration-is-coming-to-hoteliers-stay-tuned/,4,"August 20, 2020"
200,Perspectives with Saurabh Prakash: How Hotels Can Get Digital Right for Recovery,https://rategain.com/blog/perspectives-with-saurabh-prakash-how-hotels-can-get-digital-right-for-recovery/,4,"August 14, 2020"
201,Perspectives with Debojo: How Survival Became A Success Metric at SpiceJet,https://rategain.com/blog/perspectives-with-debojo-how-survival-became-a-success-metric-at-spicejet/,6,"July 22, 2020"
202,Strategies for Hoteliers to Get Back to Business for UK Market,https://rategain.com/blog/strategies-for-hoteliers-to-get-back-to-business-for-uk-market/,6,"July 20, 2020"
203,Strategies for Hoteliers to Get Back to Business for Europe Market,https://rategain.com/blog/strategies-for-hoteliers-to-get-back-to-business-for-europe-market/,9,"July 20, 2020"
204,"Perspectives #8 with Ajay Bakaya, Managing Director, Sarovar Hotels and Resorts",https://rategain.com/blog/perspectives-8-with-ajay-bakaya-managing-director-sarovar-hotels-and-resorts/,4,"July 14, 2020"
205,Re-Taking The Skies : What Can Commercial Teams Do To Gear Up For A Full Return Of Airline Travel In The New Normal,https://rategain.com/blog/re-taking-the-skies-what-can-commercial-teams-do-to-gear-up-for-a-full-return-of-airline-travel-in-the-new-normal/,3,"June 30, 2020"
206,React to Competitive Prices in Real Time with RateGain’s OPTIMA MarketDrone,https://rategain.com/blog/react-to-competitive-prices-in-real-time-with-rategains-optima-marketdrone/,4,"June 15, 2020"
207,Watch Your Language! Content in the New Hospitality Landscape,https://rategain.com/blog/watch-your-language-content-in-the-new-hospitality-landscape/,4,"June 2, 2020"
208,Keeping Lights on During the Current COVID Crisis!,https://rategain.com/blog/keeping-lights-on-during-the-current-covid-crisis/,4,"May 5, 2020"
209,"Hoteliers, Spot New Markets to Create New Revenues in a Post-COVID 19 World",https://rategain.com/blog/hoteliers-spot-new-markets-to-create-new-revenues-in-a-post-covid-19-world/,1,"April 23, 2020"
210,Social Media During COVID-19: Tourism Brands That Got It Right,https://rategain.com/blog/social-media-during-covid-19-tourism-brands-that-got-it-right/,8,"April 21, 2020"
211,We Are Bracing Ourselves: Are You?,https://rategain.com/blog/have-we-braced-ourselves/,1,"March 20, 2020"
212,How to Capture Rate Integrity Issues in the Most Simplified Way,https://rategain.com/blog/how-to-capture-rate-integrity-issues-in-the-most-simplified-way/,1,"March 11, 2020"
213,Top 3 Rate Disparity Cases Acceptable to a Revenue Manager,https://rategain.com/blog/top-3-rate-disparity-cases-acceptable-to-a-revenue-manager/,1,"March 4, 2020"
214,Rate Integrity: A Brand New Way of Increasing Direct Bookings,https://rategain.com/blog/rate-integrity-a-brand-new-way-of-increasing-direct-bookings/,8,"February 27, 2020"
215,Why Choose Rate Intelligence Over Rate Shopping?,https://rategain.com/blog/why-choose-rate-intelligence-over-rate-shopping/,1,"February 19, 2020"
216,Why a Rate Intelligence Experience Should Have the Best Art & Science Behind it,https://rategain.com/blog/why-a-rate-intelligence-experience-should-have-the-best-art-science-behind-it/,1,"February 5, 2020"
217,Our Point of View on the Modern Age Distribution Ecosystem,https://rategain.com/blog/our-point-of-view-on-the-modern-age-distribution-ecosystem/,6,"January 31, 2020"
218,Are You Leading A Future-Ready HR?,https://rategain.com/blog/are-you-leading-a-future-ready-hr/,7,"January 29, 2020"
219,5 Ways to Ace Hospitality Marketing in 2020,https://rategain.com/blog/5-ways-to-ace-hospitality-marketing-in-2020/,5,"January 20, 2020"
220,Why UX is Instrumental for Revenue Management,https://rategain.com/blog/why-ux-is-instrumental-for-revenue-management/,1,"January 14, 2020"
221,Visualizing Data Like a Pro: The Key to Unlock the Data Gold Mine,https://rategain.com/blog/visualizing-data-like-a-pro-the-key-to-unlock-the-data-gold-mine/,1,"December 17, 2019"
222,Smart Shopping for Data: Driving Analytics Excellence in the Airlines Industry,https://rategain.com/blog/smart-shopping-for-data-driving-analytics-excellence-in-the-airlines-industry/,5,"December 4, 2019"
223,"Mr. Hotelier, Four Signs It is Time to Change your Distribution Partner",https://rategain.com/blog/mr-hotelier-four-signs-it-is-time-to-change-your-distribution-partner/,5,"November 29, 2019"
224,Adopting SCRUM in the Organization’s People Processes,https://rategain.com/blog/adopting-scrum-organization-people-processes/,3,"November 22, 2019"
225,How to Deliver Value In The Era Of Hospitality Industry Consolidation?,https://rategain.com/blog/how-to-deliver-value-in-the-era-of-hospitality-industry-consolidation/,4,"November 19, 2019"
226,What will define Long Term Success for Airlines,https://rategain.com/blog/what-will-define-long-term-success-for-airlines/,8,"November 11, 2019"
227,Challenges for Airline Revenue Managers Beyond 2020,https://rategain.com/blog/challenges-for-airline-revenue-managers-beyond-2020/,9,"October 23, 2019"
228,Navigating Constant Consolidation,https://rategain.com/blog/navigating-constant-consolidation/,8,"October 21, 2019"
229,Our point of view on Distribution Journey,https://rategain.com/blog/our-point-of-view-on-distribution-journey/,8,"October 17, 2019"
230,Putting User Experience at the center of a new problem,https://rategain.com/blog/putting-user-experience-at-the-center-of-a-new-problem/,1,"October 15, 2019"
231,The Last Distribution Challenge,https://rategain.com/blog/re-configuring-the-distribution-models-for-the-next-gen-distribution-ecosystem/,2,"October 15, 2019"
232,Can Car Rental analytics help make better investment decisions?,https://rategain.com/blog/can-car-rental-analytics-help-make-better-investment-decisions/,8,"October 4, 2019"
233,Top 3 considerations for blueprinting your content transformation,https://rategain.com/blog/top-three-considerations-for-blueprinting-your-content-transformation/,7,"September 21, 2019"
234,The Path to A Shared Future: Can car rentals help in turning around the industry slowdown ?,https://rategain.com/blog/how-to-turn-around-car-industry-slowdown/,7,"September 11, 2019"
235,Delivering Duty of Care in the Age of Corporate Rogue Travel,https://rategain.com/blog/delivering-duty-of-care-in-the-age-of-corporate-rogue-travel/,5,"August 21, 2019"
236,Who is winning the experience game in travel and hospitality?,https://rategain.com/blog/who-is-winning-the-experience-game-in-travel-and-hospitality/,2,"July 22, 2019"
237,Airlines: Soaring on Ancillary Revenue,https://rategain.com/blog/airlines-soaring-on-ancillary-revenue/,5,"July 18, 2019"
238,Transaction Tracking and Analytics: Steering Car Rental,https://rategain.com/blog/transaction-tracking-and-analytics-steering-car-rental/,5,"June 24, 2019"
239,Enhancing Car Rental Revenue Management with AI-driven Dynamic Pricing,https://rategain.com/blog/enhancing-car-rental-revenue-management-with-ai-driven-dynamic-pricing/,5,"June 24, 2019"
240,Busting a billion-dollar digital myth for cruise lines!,https://rategain.com/blog/busting-billion-dollar-digital-myth-cruise-lines/,6,"February 8, 2019"
241,The future of distribution strategy at your doorstep,https://rategain.com/blog/future-distribution-strategy-doorstep/,4,"September 24, 2018"
242,"‘A Thousand Words’: Why Great Visuals Speak Directly, Fluently and Effortlessly",https://rategain.com/blog/importance-picture-reviews-hotel-reputation/,4,"August 27, 2018"
243,New Age Data is Driving Growth for Travel Package Providers,https://rategain.com/blog/new-age-big-data-growth-package-providers/,3,"August 24, 2018"
244,Tackling content issues head-on,https://rategain.com/blog/tackling-content-issues-head-on/,4,"July 16, 2018"
245,7 Top Trends In Hotel Distribution Today,https://rategain.com/blog/7-trends-hotel-distribution/,3,"July 13, 2018"
246,HRS Selects RateGain as its Channel Management Partner for their newest connectivity platform,https://rategain.com/blog/channel-management-channel-management-hrs-selects-rategain-channel-management-partner-new-platform/,3,"May 4, 2018"
247,Code Itineraries: A road map for the travel industry to unlock one trillion dollars in value by 2025,https://rategain.com/blog/code-itineraries-road-map-travel-industry/,3,"April 11, 2018"
248,5 Ways to Improve Your Hotel's Visibility within Search Engines,https://rategain.com/blog/5-ways-improve-hotels-visibility-search-engines/,3,"April 9, 2018"
249,Hitting a home run in automation tools,https://rategain.com/blog/hitting-a-home-run-in-automation-tools/,3,"April 3, 2018"
250,Tapping the world’s no. 1 outbound travel market,https://rategain.com/blog/tapping-the-worlds-no-1-outbound-travel-market/,3,"January 22, 2018"
251,It's 100% pure adrenaline! Introducing Distribution Strategy Studio,https://rategain.com/blog/pure-adrenaline-distribution-strategy-studio/,3,"January 11, 2018"
252,Your Hotel Reputation Matters to Your Revenue,https://rategain.com/blog/hotel-reputation-matters-revenue/,4,"December 11, 2017"
253,"Hoteliers, Take a Re-look at Parity and Prevent Revenue Leakages",https://rategain.com/blog/hotel-parity-prevent-revenue-leakages/,3,"November 23, 2017"
254,Assessing the boom in travel startups,https://rategain.com/blog/assessing-the-boom-in-travel-startups/,4,"November 21, 2017"
255,Building the Perfect Revenue Strategy Is Not Enough; Advanced Hotel Revenue Management Tool is a Must!,https://rategain.com/blog/advanced-hotel-revenue-management-tool/,3,"November 13, 2017"
256,Travel Industry is Already Using Geo-based Competitive Price Tracking; Act Now Before Its Too Late,https://rategain.com/blog/geo-based-competitive-price-tracking-rate-intelligence-tool/,4,"November 3, 2017"
257,We Bet You Will Not Want to Miss The Benefits of a Comprehensive Hotel Price Intelligence Solution!,https://rategain.com/blog/benefits-hotel-price-intelligence-solution/,4,"October 25, 2017"
258,Sharing economy blurring the lines in hospitality,https://rategain.com/blog/sharing-economy-blurring-the-lines-in-hospitality/,4,"October 23, 2017"
259,Tracking Mobile App Rates of Your Competition is a MUST for Your Price Strategy!,https://rategain.com/blog/track-competitor-mobile-app-rates-hotel/,3,"October 11, 2017"
260,Will Artificial Intelligence Replace Human Intelligence in Revenue Management and Pricing Analysis?,https://rategain.com/blog/artificial-intelligence-replace-human-intelligence-revenue-management-pricing-analyst/,3,"September 29, 2017"
261,It’s time to reexamine the data structure behind hotel distribution,https://rategain.com/blog/its-time-to-reexamine-the-data-structure-behind-hotel-distribution/,2,"September 25, 2017"
262,7 Fundamental Hotel Marketing Strategies To Stand Out From Your Competition,https://rategain.com/blog/fundamental-hotel-marketing-strategies-stand-out/,4,"September 21, 2017"
263,Design an Effective Hotel Guest Loyalty Program to Increase Hotel Bookings and Revenue,https://rategain.com/blog/effective-hotel-guest-loyalty-program-increase-revenue/,4,"September 18, 2017"
264,Yield Management in Hospitality - Important for Efficient Revenue Management Strategy,https://rategain.com/blog/yield-management-hospitality-revenue-strategy/,3,"September 14, 2017"
265,What Makes Your Guests The Promoters of Your Brand?,https://rategain.com/blog/make-guests-promoters-hotel-brand/,3,"September 7, 2017"
266,Tapping the potential of IoT,https://rategain.com/blog/tapping-the-potential-of-iot/,3,"August 29, 2017"
267,The Role and Future of Technology in Travel Industry,https://rategain.com/blog/role-future-technology-travel-industry/,3,"August 28, 2017"
268,New Consumer Review Dashboard For Hotels,https://rategain.com/blog/brandgain-new-consumer-review-dashboard/,3,"August 21, 2017"
269,Measuring Demand in Your City will Skyrocket your Revenue - Here is How!,https://rategain.com/blog/measuring-hotel-demand-city-skyrocket-revenue/,3,"August 21, 2017"
270,7 Best Methods to Gather Quality Guest Feedback,https://rategain.com/blog/methods-gather-hotel-guest-feedback/,2,"August 16, 2017"
271,"The Brilliant Hotelier: Face To Face With Panayiotis Kyprianou From Thanos Resorts & Spas, Cyprus",https://rategain.com/blog/brilliant-hotelier-thanos-resorts-spas-cyprus/,4,"August 14, 2017"
272,Monitoring Hundreds of Booking Sites - No Longer a Challenging Task for Hoteliers,https://rategain.com/blog/monitoring-multiple-booking-sites-hotel-pricing-strategy/,3,"August 10, 2017"
273,"Hotels, Utilize Closed User Group (CUG) Customers to Increase Revenue Through Direct Bookings",https://rategain.com/blog/utilize-closed-user-group-customers-increase-revenue-direct-bookings/,4,"August 8, 2017"
274,Create a Revenue Centric Culture in your Hotel by Integrating Technology,https://rategain.com/blog/revenue-centric-culture-integrated-hotel-technology/,4,"August 2, 2017"
275,"Despite the best efforts of hotel brands, travelers still love to click around",https://rategain.com/blog/despite-the-best-efforts-of-hotel-brands-travelers-still-love-to-click-around/,4,"August 1, 2017"
276,"Hoteliers, Are You Using Mobile to Support Your Online Reputation Management?",https://rategain.com/blog/mobile-support-hotel-online-reputation-management-strategy/,4,"July 31, 2017"
277,7 Practical tips to improve online reviews of your hotel,https://rategain.com/blog/tips-improve-online-reviews-hotel/,4,"July 25, 2017"
278,14 Features to Consider Before Your Hotel Decides to Devote In a Channel Manager,https://rategain.com/blog/features-consider-choosing-hotel-channel-manager/,4,"July 24, 2017"
279,Managing Hotel Guest Sentiment and Online Presence to Create Revenue Centric Culture,https://rategain.com/blog/managing-hotel-guest-sentiment-online-presence-revenue-centric-culture/,4,"July 19, 2017"
280,"Hoteliers, You Need a Channel Manager with an Edge to Stand out from Competition",https://rategain.com/blog/right-hotel-channel-manager-stand-out-competitive-edge/,3,"July 18, 2017"
281,Blockchain and its potential to upend the travel industry,https://rategain.com/blog/blockchain-and-its-potential-to-upend-the-travel-industry/,3,"July 17, 2017"
282,"Hoteliers, Learn How to Create A Revenue Centric Culture in Your Hotel",https://rategain.com/blog/create-hotel-revenue-centric-culture/,4,"July 10, 2017"
283,"Hoteliers, Learn About The Growing Importance of Hotel Online Reputation Management",https://rategain.com/blog/growing-importance-hotel-online-reputation-management/,4,"July 4, 2017"
284,How to Make Restaurant’s Online Reputation a Secret Sauce in Enhancing your Hotel Brand?,https://rategain.com/blog/restaurant-online-reputation-enhance-hotel-brand/,4,"June 28, 2017"
285,Engaging Travelers Through Social Media Can Reap Umpteen Benefits for Hotels,https://rategain.com/blog/engaging-travelers-social-media-hotels-reap-benefits/,4,"June 19, 2017"
286,Approach For A Balanced Hotel Distribution Strategy - Learn Why Hotels Should Adopt It,https://rategain.com/blog/adopt-balanced-hotel-distribution-strategy/,2,"June 14, 2017"
287,9 Tips to Build a Hotel’s Facebook Strategy & Improve Guest Experience,https://rategain.com/blog/improve-guest-experience-build-hotel-facebook-strategy-social-media/,3,"June 6, 2017"
288,Top Trends: Millennial Travelers & the Hospitality Sector,https://rategain.com/blog/millennial-travelers-trends-hospitality-sector/,3,"May 30, 2017"
289,Evolving Role Of Hotel Revenue Manager - Part 4,https://rategain.com/blog/evolving-hotel-revenue-manager-use-big-data/,2,"May 26, 2017"
290,The Evolving Role of Revenue Managers - Part 3,https://rategain.com/blog/evolving-role-revenue-managers-hotel-comp-set/,3,"May 24, 2017"
291,Good translation key to staying in global marketplace,https://rategain.com/blog/good-translation-key-to-staying-in-global-marketplace/,3,"May 24, 2017"
292,The Evolving Role Of Hotel Revenue Managers – Part 2,https://rategain.com/blog/evolving-role-hotel-revenue-managers-part2/,3,"May 17, 2017"
293,How Your Hotel distribution & Online Reputation Strategy is key to RevPAR Management,https://rategain.com/blog/revpar-management-hotel-distribution-reputation-strategy/,3,"May 15, 2017"
294,The Evolving Role of Hotel Revenue Managers - Part 1,https://rategain.com/blog/evolving-role-hotel-revenue-managers-part1/,3,"May 10, 2017"
295,5 Effective Ways Hotels Could Conduct Guest Surveys and Loyalty Programs,https://rategain.com/blog/effective-hotels-guest-surveys-loyalty-programs/,3,"May 2, 2017"
296,"Hoteliers, Are Vacation Rentals Eating Your Lunch?",https://rategain.com/blog/vacation-rentals-eating-hotel-revenue/,3,"April 26, 2017"
297,Abbreviations are not a content strategy,https://rategain.com/blog/abbreviations-are-not-a-content-strategy/,3,"April 24, 2017"
298,The Future of Hotel Revenue Management – BOTs or Humans?,https://rategain.com/blog/future-hotel-revenue-management-bots-humans/,3,"April 18, 2017"
299,"Hoteliers, Learn How to Overcome the Challenges in Online Reputation Management",https://rategain.com/blog/overcome-shortcomings-challenges-in-online-reputation-management/,3,"April 14, 2017"
300,Managing Seasonal Market Changes to Ensure your Hotel Stays on Top - Part 4,https://rategain.com/blog/managing-seasonal-market-changes-hotel-stays-top-part4/,4,"April 13, 2017"
301,Managing Seasonal Market Changes to Ensure your Hotel Stays on Top - Part 3,https://rategain.com/blog/seasonal-market-changes-hotels-attract-guests/,3,"April 11, 2017"
302,Managing Seasonal Market Changes to Ensure your Hotel Stays on Top - Part 2,https://rategain.com/blog/managing-seasonal-market-changes-hotel-stays-top-part-2/,4,"April 7, 2017"
303,Solving the hospitality industry’s ‘content conundrum’,https://rategain.com/blog/olving-the-hospitality-industrys-content-conundrum/,2,"April 3, 2017"
304,Managing Seasonal Market Changes to Ensure your Hotel Stays on Top - Part 1,https://rategain.com/blog/managing-seasonal-market-changes-hotel-stays-top/,3,"April 3, 2017"
305,"Hoteliers, Beat the Competition and Be The Market Leaders By Adopting Automation",https://rategain.com/blog/revenue-managers-embrace-automation-market-leaders/,2,"March 27, 2017"
306,How Can Hotels Use Google to Maximise their Online Presence?,https://rategain.com/blog/how-hotels-use-google-maximise-online-presence/,2,"March 17, 2017"
307,Revenue Management & Marketing Automation can Help Independent Hotels Stay Ahead,https://rategain.com/blog/revenue-management-marketing-automation-for-independent-hotels/,4,"March 14, 2017"
308,Big Data Challenge,https://rategain.com/blog/big-data-challenge/,4,"March 8, 2017"
309,"Hoteliers, Design Your Revenue Management Strategy in Pre-Opening Stage",https://rategain.com/blog/hotel-revenue-management-strategy-pre-opening/,4,"March 2, 2017"
310,"Hoteliers, Keep a Track of Events and Holidays To Increase your Revenue Many Folds",https://rategain.com/blog/track-events-and-holidays-increase-hotel-revenue/,3,"February 20, 2017"
311,3 Effective Hotel Pricing Strategy Can Boost Your Hotel Revenue,https://rategain.com/blog/effective-hotel-pricing-strategy-to-boost-revenue/,5,"February 13, 2017"
312,How to Manage Hotel's Online Reviews & Guest Experience,https://rategain.com/blog/how-to-manage-hotel-online-reviews/,3,"February 2, 2017"
313,Why Should Hotels Pay Special Attention to Demand Forecasting?,https://rategain.com/blog/why-should-hotels-pay-special-attention-to-demand-forecasting/,3,"January 25, 2017"
314,"The Brilliant Hotelier: Face to face with Deanna Jayasundera from Theme Resorts and Spas, Sri Lanka",https://rategain.com/blog/brilliant-hotelier-face-face-deanna-jayasundera-assistant-manager-theme-resorts-spas-sri-lanka/,3,"January 16, 2017"
315,RateGain’s Top 12 Blogs of 2016,https://rategain.com/blog/rategains-top-12-blogs-of-2016/,4,"January 3, 2017"
316,Managing Real-Time Room Inventories Across Multiple OTAs,https://rategain.com/blog/managing-real-time-room-inventories-across-multiple-otas/,2,"December 27, 2016"
317,"The Brilliant Hotelier: Face 2 Face with Ria Roberto, the Director of Revenue Management at Kenz Hotel Management, UAE",https://rategain.com/blog/the-brilliant-hotelier-face-2-face-with-ria-roberto-the-director-of-revenue-management-at-kenz-hotel-management-abu/,2,"December 19, 2016"
318,Be the Revenue Management Hero of your Hotel,https://rategain.com/blog/be-the-revenue-management-hero-of-your-hotel/,4,"November 28, 2016"
319,"Hotels, Let’s Go Direct!",https://rategain.com/blog/hotels-lets-go-direct/,4,"November 23, 2016"
320,Tips to Build Customer Loyalty for Your Restaurant,https://rategain.com/blog/tips-to-build-customer-loyalty-for-your-restaurant/,4,"November 21, 2016"
321,"Systems Reliability, A Necessity for Hotel Operations: Part 2",https://rategain.com/blog/systems-reliability-a-necessity-for-hotel-operations-part-2/,4,"November 18, 2016"
322,Is Your Hotel United by Goals but Divided by Systems?,https://rategain.com/blog/is-your-hotel-united-by-goals-but-divided-by-systems/,4,"November 16, 2016"
323,"The Brilliant Hotelier: Face 2 Face with I Nyoman Astama, General Manager of the Bali Niksoma Boutique Beach Resort",https://rategain.com/blog/the-brilliant-hotelier-face-2-face-with-i-nyoman-astama-general-manager-of-the-bali-niksoma-boutique-beach-resort/,4,"November 15, 2016"
324,"Systems Reliability, A Necessity for Hotel Operations: Part 1",https://rategain.com/blog/systems-reliability-a-necessity-for-hotel-operations-part-1/,3,"November 11, 2016"
325,Is your Hotel Website Ready for Google's Latest Mobile Updates,https://rategain.com/blog/is-your-hotel-website-ready-for-googles-latest-mobile-updates/,3,"November 8, 2016"
326,Optimize Your Hotel’s SEO and Mobile Strategy,https://rategain.com/blog/optimize-your-hotels-seo-and-mobile-strategy/,4,"November 3, 2016"
327,"The Brilliant Hotelier: Face 2 Face with Stavros Drakou, Director at Cyprotels Hotels and Resorts, Cyprus",https://rategain.com/blog/the-brilliant-hotelier-face-2-face-with-stavros-drakou-director-at-cyprotels-hotels-and-resorts-cyprus/,1,"November 2, 2016"
328,What’s spookier than Halloween for Hoteliers?,https://rategain.com/blog/whats-spookier-than-halloween-for-hoteliers/,2,"October 26, 2016"
329,Tapping the phenomenal potential of the Asia Pacific region,https://rategain.com/blog/tapping-the-phenomenal-potential-of-the-asia-pacific-region/,2,"October 10, 2016"
330,"The Brilliant Hotelier: Face 2 Face with Trisna Widia, Marketing & E-Commerce Manager, Prime Plaza Hotels and Resorts, Indonesia",https://rategain.com/blog/the-brilliant-hotelier-face-2-face-with-trisna-widia-marketing-e-commerce-manager-prime-plaza-hotels-and-resorts-indonesia/,2,"October 6, 2016"
331,How to Increase Hotel Direct Bookings? Don’t Ignore the Role of a Booking Engine,https://rategain.com/blog/how-to-increase-hotel-direct-bookings-dont-ignore-the-role-of-a-booking-engine/,2,"September 26, 2016"
332,Weary of Disruption? 5 Simple Steps to Disrupt the Disruptions in the Rapidly Changing Hospitality Industry,https://rategain.com/blog/weary-of-disruption-5-simple-steps-to-disrupt-the-disruptions-in-the-rapidly-changing-hospitality-industry/,2,"September 21, 2016"
333,Disruption in the Hotel Industry and Changing Face of the Global Travel Market,https://rategain.com/blog/disruption-in-the-hotel-industry-and-changing-face-of-the-global-travel-market/,2,"September 16, 2016"
334,"The Brilliant Hotelier: Tête-à-Tête with Richard Lewis, the CEO of Landmark Hotels, Dubai",https://rategain.com/blog/the-brilliant-hotelier-tete-a-tete-with-richard-lewis-the-ceo-of-landmark-hotels-dubai/,3,"September 15, 2016"
335,The fast-changing world of hospitality distribution,https://rategain.com/blog/rapid-technological-change-spells-disruption-and-opportunity/,3,"September 12, 2016"
336,"Hotels, Are You Prepared for Digital Detox Travelers?",https://rategain.com/blog/hotels-are-you-prepared-for-digital-detox-travelers/,4,"September 6, 2016"
337,"The Brilliant Hotelier: Face 2 Face with the Revenue Director at J5 Rimal Hotel Apartments, Dubai",https://rategain.com/blog/the-brilliant-hotelier-face-2-face-with-the-revenue-director-at-j5-rimal-hotel-apartments-dubai/,4,"September 2, 2016"
338,How Hotels of Tomorrow are Improving Guest Experience with Technology?,https://rategain.com/blog/how-hotels-of-tomorrow-are-improving-guest-experience-with-technology/,4,"September 1, 2016"
339,Sharing economy and alternative lodging offer great opportunities,https://rategain.com/blog/sharing-economy-and-alternative-lodging-offer-great-opportunities/,4,"August 29, 2016"
340,How can Hotels Generate More Revenue from Customer Loyalty - Part II,https://rategain.com/blog/how-can-hotels-generate-more-revenue-from-customer-loyalty-part-ii/,3,"August 25, 2016"
341,How can Hotels Generate More Revenue from Customer Loyalty - Part I,https://rategain.com/blog/how-can-hotels-generate-more-revenue-from-customer-loyalty-part-i/,3,"August 19, 2016"
342,Travel agents: a re-emerging force in hospitality distribution,https://rategain.com/blog/travel-agents-a-re-emerging-force-in-hospitality-distribution/,3,"August 15, 2016"
343,5 Things About Hotel Revenue Management Your Boss Wants to Know – Part II,https://rategain.com/blog/top-5-things-about-hotel-revenue-management-your-boss-wants-to-know/,2,"July 28, 2016"
344,Pikachu Conjures his Pokemon Friends for Increasing Hotel Revenues,https://rategain.com/blog/pikachu-conjures-his-pokemon-friends-for-increasing-hotel-revenues/,3,"July 26, 2016"
345,The sensible economics of 'one to many',https://rategain.com/blog/the-sensible-economics-of-one-to-many/,3,"July 26, 2016"
346,5 Things About Hotel Revenue Management Your Boss Wants to Know - Part I,https://rategain.com/blog/5-things-about-hotel-revenue-management-your-boss-wants-to-know-part-i/,3,"July 22, 2016"
347,"Hotels, Improve your Online Distribution Strategy with Six Simple Tips",https://rategain.com/blog/hotels-improve-your-online-distribution-strategy-with-six-simple-tips/,3,"July 12, 2016"
348,How to Ensure the Demand Generated is Translated into Increased Revenues?,https://rategain.com/blog/how-to-ensure-the-demand-generated-is-translated-into-increased-revenues/,3,"July 11, 2016"
349,"Brexit: The Impact on Travel and Tourism Industry, Now and Later",https://rategain.com/blog/brexit-the-impact-on-travel-and-tourism-industry-now-and-later/,3,"June 27, 2016"
350,Create a new chapter in the relationship between Your Hotel & Guests with Chat Tools,https://rategain.com/blog/create-a-new-chapter-in-the-relationship-between-your-hotel-guests-with-chat-tools/,3,"June 21, 2016"
351,Effective Ways to Measure & Generate Demand – Part V,https://rategain.com/blog/effective-ways-to-measure-generate-demand-building-a-revenue-culture/,2,"June 19, 2016"
352,Effective Ways to Measure & Generate Demand – Part IV,https://rategain.com/blog/effective-ways-to-measure-generate-demand-part-iv/,2,"June 17, 2016"
353,Effective Ways to Measure & Generate Demand - Part II,https://rategain.com/blog/effective-ways-to-measure-demand-part-ii/,3,"June 15, 2016"
354,Effective Ways to Measure & Generate Demand – Part III,https://rategain.com/blog/effective-ways-to-measure-generate-demand-part-iii/,4,"June 15, 2016"
355,Effective Ways to Measure and Generate Demand - Part I,https://rategain.com/blog/effective-ways-to-measure-and-generate-demand-part-i/,4,"May 17, 2016"
356,8 Top Tips to Choose the Right Hotel Channel Manager,https://rategain.com/blog/8-top-tips-to-choose-the-right-hotel-channel-manager/,4,"May 3, 2016"
357,Comparing and Contrasting Industry Problems with Revenue Optimisation,https://rategain.com/blog/comparing-and-contrasting-industry-problems-with-revenue-optimisation/,4,"April 27, 2016"
358,"Making Cents of RevGain: An Interview With the Revenue Manager at St. George Lycabettus Hotel, Greece",https://rategain.com/blog/making-cents-of-revgain-an-interview-with-the-revenue-manager-at-st-george-lycabettus-hotel-greece/,5,"April 20, 2016"
359,Tapping the potential of emerging markets,https://rategain.com/blog/tapping-the-potential-of-emerging-markets/,4,"April 19, 2016"
360,"Unity for Revenue Management: An Interview With the Revenue Analyst at The Manila Hotel, Philippines",https://rategain.com/blog/unity-for-revenue-management-an-interview-with-the-revenue-analyst-at-the-manila-hotel-philippines/,5,"April 14, 2016"
361,How to Choose the Right Rate Optimisation Tool for Your Hotel?,https://rategain.com/blog/how-to-choose-the-right-rate-optimisation-tool-for-your-hotel/,5,"April 6, 2016"
362,New partnerships underscore benefits of DHISCO’s ‘direct-to-many’ solutions,https://rategain.com/blog/new-partnerships-underscore-benefits-of-dhiscos-direct-to-many-solutions/,3,"April 4, 2016"
